Symbol,Name
D05.SI,DBS Group Holdings Ltd
O39.SI,Oversea-Chinese Banking Corporation Limited
U11.SI,United Overseas Bank Limited
Z74.SI,Singapore Telecommunications Limited
K6S.SI,Prudential plc
F34.SI,Wilmar International Limited
C6L.SI,Singapore Airlines Limited
S07.SI,Shangri-La Asia Limited
Q0F.SI,IHH Healthcare Berhad
9CI.SI,CapitaLand Investment Limited
C38U.SI,CapitaLand Integrated Commercial Trust
BN4.SI,Keppel Ltd.
S63.SI,Singapore Technologies Engineering Ltd
Y92.SI,Thai Beverage Public Company Limited
A17U.SI,CapitaLand Ascendas REIT
J36.SI,Jardine Matheson Holdings Limited
G13.SI,Genting Singapore Limited
NIO.SI,NIO Inc.
S68.SI,Singapore Exchange Limited
C07.SI,Jardine Cycle & Carriage Limited
U96.SI,Sembcorp Industries Ltd
G07.SI,Great Eastern Holdings Limited
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.
M44U.SI,Mapletree Logistics Trust
EMI.SI,Emperador Inc.
H78.SI,Hongkong Land Holdings Limited
N2IU.SI,Mapletree Pan Asia Commercial Trust
ME8U.SI,Mapletree Industrial Trust
S51.SI,Seatrium Limited
C09.SI,City Developments Limited
U14.SI,UOL Group Limited
V03.SI,Venture Corporation Limited
VC2.SI,Olam Group Limited
BUOU.SI,Frasers Logistics & Commercial Trust
J69U.SI,Frasers Centrepoint Trust
S58.SI,SATS Ltd.
HMN.SI,CapitaLand Ascott Trust
E5H.SI,Golden Agri-Resources Ltd
TQ5.SI,Frasers Property Limited
CJLU.SI,NetLink NBN Trust
K71U.SI,Keppel REIT
T82U.SI,Suntec Real Estate Investment Trust
C52.SI,ComfortDelGro Corporation Limited
AJBU.SI,Keppel DC REIT
D01.SI,DFI Retail Group Holdings Limited
A7RU.SI,Keppel Infrastructure Trust
T15.SI,Tan Chong International Limited
T14.SI,Tianjin Pharmaceutical Da Ren Tang Group Corporation Limited
U06.SI,Singapore Land Group Limited
S59.SI,SIA Engineering Company Limited
SK6U.SI,Paragon REIT
OV8.SI,Sheng Siong Group Ltd
J91U.SI,ESR-LOGOS REIT
H02.SI,Haw Par Corporation Limited
EB5.SI,First Resources Limited
C2PU.SI,Parkway Life Real Estate Investment Trust
M04.SI,Mandarin Oriental International Limited
AIY.SI,iFAST Corporation Ltd.
CC3.SI,StarHub Ltd
BSL.SI,Raffles Medical Group Ltd
H15.SI,Hotel Properties Limited
BVA.SI,Top Glove Corporation Bhd.
F17.SI,GuocoLand Limited
TS0U.SI,OUE Real Estate Investment Trust
F99.SI,"Fraser and Neave, Limited"
P7VU.SI,Hutchison Port Holdings Trust
CY6U.SI,CapitaLand India Trust
A50.SI,Thomson Medical Group Limited
JYEU.SI,Lendlease Global Commercial REIT
ADN.SI,First Sponsor Group Limited
Q5T.SI,Far East Hospitality Trust
U10.SI,UOB-Kay Hian Holdings Limited
J85.SI,CDL Hospitality Trusts
AU8U.SI,CapitaLand China Trust
AP4.SI,Riverstone Holdings Limited
P8Z.SI,Bumitama Agri Ltd.
YF8.SI,Yangzijiang Financial Holding Ltd.
NC2.SI,Sri Trang Agro-Industry Public Company Limited
S41.SI,Hong Leong Finance Limited
H13.SI,Ho Bee Land Limited
P40U.SI,Starhill Global Real Estate Investment Trust
NS8U.SI,Hutchison Port Holdings Trust
CWCU.SI,Cromwell European Real Estate Investment Trust
W05.SI,Wing Tai Holdings Limited
AGS.SI,The Hour Glass Limited
O5RU.SI,AIMS APAC REIT
558.SI,UMS Holdings Limited
Z25.SI,Yanlord Land Group Limited
LJ3.SI,OUE Limited
S08.SI,Singapore Post Limited
ACV.SI,Frasers Hospitality Trust
P15.SI,Pacific Century Regional Developments Limited
CRPU.SI,Sasseur Real Estate Investment Trust
CGN.SI,Best World International Limited
S61.SI,SBS Transit Ltd
B61.SI,Bukit Sembawang Estates Limited
8AZ.SI,Aztech Global Ltd.
G92.SI,China Aviation Oil (Singapore) Corporation Ltd
DCRU.SI,Digital Core REIT
